epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,287.594,2.07911,1.30885,1.27,0.55613,0.35187,0.36301,0.17799,2.089,1.18846,1.31805,6.139e-05,6.139e-05,6.139e-05
41,294.693,2.08154,1.28389,1.2683,0.55319,0.35599,0.36396,0.17825,2.09081,1.18509,1.31783,6.04e-05,6.04e-05,6.04e-05
42,301.793,2.10462,1.3044,1.26837,0.55706,0.35684,0.36388,0.17939,2.09887,1.18711,1.31772,5.941e-05,5.941e-05,5.941e-05
43,308.918,2.07827,1.30163,1.26544,0.57577,0.35163,0.36711,0.18115,2.09114,1.18005,1.31652,5.842e-05,5.842e-05,5.842e-05
44,316.096,2.11096,1.28622,1.27697,0.56948,0.34911,0.36666,0.17978,2.09437,1.18134,1.3165,5.743e-05,5.743e-05,5.743e-05
45,323.232,2.11606,1.2967,1.27612,0.55826,0.35566,0.36665,0.18069,2.09362,1.17911,1.31607,5.644e-05,5.644e-05,5.644e-05
46,330.182,2.09655,1.28671,1.27037,0.55035,0.36354,0.36777,0.17989,2.09068,1.17664,1.316,5.545e-05,5.545e-05,5.545e-05
47,337.281,2.07648,1.26828,1.25513,0.53379,0.36778,0.37027,0.18068,2.0826,1.17055,1.31414,5.446e-05,5.446e-05,5.446e-05
48,344.299,2.08684,1.26887,1.26531,0.52356,0.37409,0.37084,0.1816,2.07821,1.16412,1.31402,5.347e-05,5.347e-05,5.347e-05
49,351.342,2.07551,1.26385,1.25604,0.53489,0.3723,0.37171,0.18159,2.08274,1.16593,1.31301,5.248e-05,5.248e-05,5.248e-05
50,358.415,2.07497,1.27183,1.26236,0.55048,0.37447,0.37366,0.18255,2.07988,1.16358,1.31254,5.149e-05,5.149e-05,5.149e-05
51,365.491,2.10628,1.27281,1.25754,0.55046,0.37901,0.37418,0.18242,2.08069,1.16426,1.31107,5.05e-05,5.05e-05,5.05e-05
52,372.421,2.07026,1.27344,1.28168,0.54843,0.37159,0.37481,0.18405,2.07433,1.16169,1.30937,4.951e-05,4.951e-05,4.951e-05
53,379.581,2.08448,1.27341,1.27487,0.54629,0.37146,0.3747,0.184,2.07585,1.16068,1.30934,4.852e-05,4.852e-05,4.852e-05
54,386.569,2.06573,1.26228,1.26183,0.54175,0.37409,0.37456,0.1829,2.08224,1.16363,1.31041,4.753e-05,4.753e-05,4.753e-05
55,393.771,2.07401,1.26553,1.24816,0.54372,0.37392,0.37524,0.18393,2.07538,1.15977,1.30896,4.654e-05,4.654e-05,4.654e-05
56,400.73,2.07577,1.25772,1.26292,0.56013,0.36409,0.37654,0.18401,2.07864,1.15702,1.31027,4.555e-05,4.555e-05,4.555e-05
57,407.781,2.04611,1.24919,1.24301,0.56229,0.36492,0.37838,0.1849,2.07316,1.15132,1.30926,4.456e-05,4.456e-05,4.456e-05
58,414.894,2.06868,1.25519,1.24733,0.55233,0.36779,0.37567,0.18325,2.07783,1.15216,1.30869,4.357e-05,4.357e-05,4.357e-05
59,421.996,2.06295,1.25801,1.24759,0.54935,0.36921,0.37772,0.18419,2.0741,1.15043,1.30752,4.258e-05,4.258e-05,4.258e-05
60,429.138,2.04453,1.24633,1.2472,0.55897,0.36938,0.37741,0.18397,2.07348,1.1505,1.30762,4.159e-05,4.159e-05,4.159e-05
61,436.14,2.04913,1.25359,1.2513,0.54621,0.36567,0.37946,0.18528,2.06977,1.14688,1.30738,4.06e-05,4.06e-05,4.06e-05
62,443.213,2.09456,1.25831,1.26525,0.58227,0.35893,0.37847,0.18487,2.07494,1.14799,1.30737,3.961e-05,3.961e-05,3.961e-05
63,450.314,2.08339,1.2527,1.25906,0.59108,0.35732,0.37933,0.18584,2.07427,1.14707,1.30728,3.862e-05,3.862e-05,3.862e-05
64,457.32,2.05516,1.24971,1.2561,0.5778,0.36267,0.38048,0.18611,2.06945,1.14475,1.30713,3.763e-05,3.763e-05,3.763e-05
65,464.266,2.05986,1.25725,1.26443,0.58717,0.36084,0.3796,0.18552,2.06285,1.1418,1.30583,3.664e-05,3.664e-05,3.664e-05
66,471.208,2.06045,1.23853,1.25149,0.57984,0.361,0.37936,0.18493,2.07177,1.14243,1.30648,3.565e-05,3.565e-05,3.565e-05
67,478.188,2.05685,1.2456,1.25313,0.58222,0.36053,0.38004,0.18525,2.06845,1.14009,1.30564,3.466e-05,3.466e-05,3.466e-05
68,485.269,2.06159,1.23084,1.24228,0.57472,0.36233,0.37977,0.18531,2.06957,1.13952,1.30591,3.367e-05,3.367e-05,3.367e-05
69,492.293,2.03939,1.23376,1.23806,0.58541,0.3599,0.38107,0.18594,2.06574,1.13659,1.30497,3.268e-05,3.268e-05,3.268e-05
70,499.563,2.0789,1.24281,1.26076,0.5708,0.36355,0.38106,0.18568,2.06815,1.13735,1.30521,3.169e-05,3.169e-05,3.169e-05
71,506.554,2.05637,1.23919,1.25349,0.57758,0.36321,0.38229,0.18677,2.0637,1.13453,1.30457,3.07e-05,3.07e-05,3.07e-05
72,513.743,2.04664,1.22799,1.2554,0.56959,0.36365,0.38302,0.18685,2.06478,1.13324,1.30473,2.971e-05,2.971e-05,2.971e-05
73,520.93,2.04066,1.23553,1.23995,0.56745,0.36615,0.38442,0.18755,2.06488,1.13223,1.30385,2.872e-05,2.872e-05,2.872e-05
74,527.933,2.07084,1.23752,1.25298,0.57575,0.36457,0.38381,0.18669,2.06739,1.13225,1.30418,2.773e-05,2.773e-05,2.773e-05
75,534.905,2.0454,1.23548,1.24553,0.56948,0.3656,0.38455,0.18738,2.06327,1.13095,1.30406,2.674e-05,2.674e-05,2.674e-05
76,542.254,2.05922,1.23806,1.25616,0.56928,0.36627,0.38531,0.18776,2.06157,1.1308,1.30386,2.575e-05,2.575e-05,2.575e-05
77,549.28,2.03024,1.22919,1.25032,0.56379,0.36606,0.38477,0.18691,2.06505,1.13358,1.30424,2.476e-05,2.476e-05,2.476e-05
78,556.224,2.05532,1.22886,1.23968,0.56482,0.36539,0.38444,0.18618,2.06742,1.13321,1.30452,2.377e-05,2.377e-05,2.377e-05
79,563.269,2.04312,1.23317,1.23656,0.57428,0.3643,0.3842,0.18652,2.06868,1.13259,1.30451,2.278e-05,2.278e-05,2.278e-05
80,570.266,2.04388,1.21445,1.24188,0.56603,0.36605,0.38456,0.18687,2.06554,1.1302,1.30373,2.179e-05,2.179e-05,2.179e-05
81,577.343,2.06117,1.22556,1.25311,0.55871,0.37033,0.38561,0.18695,2.0632,1.12717,1.30374,2.08e-05,2.08e-05,2.08e-05
82,584.188,2.07442,1.23814,1.25798,0.55931,0.37156,0.38584,0.18707,2.0643,1.12816,1.3031,1.981e-05,1.981e-05,1.981e-05
83,591.22,2.04409,1.22188,1.24437,0.56813,0.36673,0.38587,0.18683,2.06635,1.13033,1.30325,1.882e-05,1.882e-05,1.882e-05
84,598.223,2.03745,1.23084,1.2564,0.56818,0.369,0.38586,0.18728,2.06185,1.12757,1.30268,1.783e-05,1.783e-05,1.783e-05
85,605.301,2.0426,1.23077,1.24876,0.57028,0.36721,0.38746,0.18918,2.05749,1.12548,1.30162,1.684e-05,1.684e-05,1.684e-05
86,612.348,2.04951,1.22182,1.24791,0.5722,0.36576,0.38515,0.18768,2.05815,1.12425,1.30166,1.585e-05,1.585e-05,1.585e-05
87,619.376,2.07193,1.23056,1.25258,0.56737,0.36723,0.3835,0.18636,2.06118,1.12607,1.30215,1.486e-05,1.486e-05,1.486e-05
88,626.342,2.07188,1.23914,1.25597,0.56104,0.37098,0.38512,0.1866,2.06201,1.12591,1.30232,1.387e-05,1.387e-05,1.387e-05
89,633.472,2.04266,1.23455,1.24308,0.55714,0.37448,0.38525,0.18686,2.06018,1.12544,1.30179,1.288e-05,1.288e-05,1.288e-05
90,640.724,2.04094,1.22516,1.24708,0.55767,0.37292,0.38488,0.18736,2.05772,1.12412,1.30145,1.189e-05,1.189e-05,1.189e-05
91,662.108,2.06999,1.29156,1.29811,0.50994,0.39067,0.37742,0.1827,2.05983,1.14262,1.30242,1.09e-05,1.09e-05,1.09e-05
92,668.492,2.06659,1.27657,1.29886,0.50182,0.39271,0.37347,0.17971,2.0604,1.15402,1.30374,9.91e-06,9.91e-06,9.91e-06
93,674.89,2.06222,1.27549,1.29691,0.5042,0.39051,0.37369,0.18013,2.05814,1.15712,1.30341,8.92e-06,8.92e-06,8.92e-06
94,681.333,2.05879,1.24835,1.29479,0.52334,0.38218,0.37313,0.18,2.0593,1.15593,1.30332,7.93e-06,7.93e-06,7.93e-06
95,687.754,2.06318,1.26064,1.2937,0.53082,0.37871,0.37276,0.1794,2.06005,1.15683,1.30363,6.94e-06,6.94e-06,6.94e-06
96,694.241,2.05354,1.2497,1.29184,0.5312,0.37636,0.37211,0.17931,2.05984,1.15773,1.30317,5.95e-06,5.95e-06,5.95e-06
97,700.608,2.0583,1.25384,1.29154,0.52419,0.37935,0.37167,0.17913,2.06082,1.15886,1.30309,4.96e-06,4.96e-06,4.96e-06
98,707.043,2.06295,1.27183,1.2938,0.52683,0.37907,0.37005,0.17874,2.06141,1.15745,1.30272,3.97e-06,3.97e-06,3.97e-06
99,713.472,2.06686,1.25654,1.29699,0.52646,0.37858,0.36969,0.17858,2.06197,1.15904,1.30267,2.98e-06,2.98e-06,2.98e-06
100,719.958,2.06123,1.26719,1.29236,0.51976,0.38034,0.36972,0.17853,2.06043,1.15897,1.30254,1.99e-06,1.99e-06,1.99e-06
